"DATE","day","season","variable","mean_kWh"
"9/1/17","Friday","Fall","time00:00",6.18
"9/1/17","Friday","Fall","time01:00",6.224
"9/1/17","Friday","Fall","time02:00",5.848
"9/1/17","Friday","Fall","time03:00",5.504
"9/1/17","Friday","Fall","time04:00",5.868
"9/1/17","Friday","Fall","time05:00",6.208
"9/1/17","Friday","Fall","time06:00",35.776
"9/1/17","Friday","Fall","time07:00",29.904
"9/1/17","Friday","Fall","time08:00",38.404
"9/1/17","Friday","Fall","time09:00",51.848
"9/1/17","Friday","Fall","time10:00",68.052
"9/1/17","Friday","Fall","time11:00",80.616
"9/1/17","Friday","Fall","time12:00",81.4
"9/1/17","Friday","Fall","time13:00",94.48
"9/1/17","Friday","Fall","time14:00",94.908
"9/1/17","Friday","Fall","time15:00",89.72
"9/1/17","Friday","Fall","time16:00",75.7
"9/1/17","Friday","Fall","time17:00",47.608
"9/1/17","Friday","Fall","time18:00",31.692
"9/1/17","Friday","Fall","time19:00",24.308
"9/1/17","Friday","Fall","time20:00",20.42
"9/1/17","Friday","Fall","time21:00",11.848
"9/1/17","Friday","Fall","time22:00",8.956
"9/1/17","Friday","Fall","time23:00",6.868
"9/2/17","Saturday","Fall","time00:00",6.272
"9/2/17","Saturday","Fall","time01:00",6.152
"9/2/17","Saturday","Fall","time02:00",5.692
"9/2/17","Saturday","Fall","time03:00",5.724
"9/2/17","Saturday","Fall","time04:00",5.448
"9/2/17","Saturday","Fall","time05:00",5.54
"9/2/17","Saturday","Fall","time06:00",7.428
"9/2/17","Saturday","Fall","time07:00",6.16
"9/2/17","Saturday","Fall","time08:00",6.54
"9/2/17","Saturday","Fall","time09:00",8.396
"9/2/17","Saturday","Fall","time10:00",8.928
"9/2/17","Saturday","Fall","time11:00",10.788
"9/2/17","Saturday","Fall","time12:00",10.464
"9/2/17","Saturday","Fall","time13:00",13.492
"9/2/17","Saturday","Fall","time14:00",19
"9/2/17","Saturday","Fall","time15:00",20.58
"9/2/17","Saturday","Fall","time16:00",23.148
"9/2/17","Saturday","Fall","time17:00",22.736
"9/2/17","Saturday","Fall","time18:00",20.132
"9/2/17","Saturday","Fall","time19:00",14.3
"9/2/17","Saturday","Fall","time20:00",11.668
"9/2/17","Saturday","Fall","time21:00",8.924
"9/2/17","Saturday","Fall","time22:00",7.54
"9/2/17","Saturday","Fall","time23:00",7.008
"9/3/17","Sunday","Fall","time00:00",6.32
"9/3/17","Sunday","Fall","time01:00",6.348
"9/3/17","Sunday","Fall","time02:00",5.748
"9/3/17","Sunday","Fall","time03:00",5.776
"9/3/17","Sunday","Fall","time04:00",6.408
"9/3/17","Sunday","Fall","time05:00",10.284
"9/3/17","Sunday","Fall","time06:00",10.52
"9/3/17","Sunday","Fall","time07:00",9.304
"9/3/17","Sunday","Fall","time08:00",11.34
"9/3/17","Sunday","Fall","time09:00",11
"9/3/17","Sunday","Fall","time10:00",11.628
"9/3/17","Sunday","Fall","time11:00",13
"9/3/17","Sunday","Fall","time12:00",14.268
"9/3/17","Sunday","Fall","time13:00",12.736
"9/3/17","Sunday","Fall","time14:00",14.296
"9/3/17","Sunday","Fall","time15:00",15.534
"9/3/17","Sunday","Fall","time16:00",15.952
"9/3/17","Sunday","Fall","time17:00",15.864
"9/3/17","Sunday","Fall","time18:00",12.256
"9/3/17","Sunday","Fall","time19:00",10.072
"9/3/17","Sunday","Fall","time20:00",8.144
"9/3/17","Sunday","Fall","time21:00",7.552
"9/3/17","Sunday","Fall","time22:00",6.944
"9/3/17","Sunday","Fall","time23:00",6.348
"9/4/17","Monday","Fall","time00:00",5.92
"9/4/17","Monday","Fall","time01:00",5.964
"9/4/17","Monday","Fall","time02:00",5.816
"9/4/17","Monday","Fall","time03:00",5.472
"9/4/17","Monday","Fall","time04:00",5.388
"9/4/17","Monday","Fall","time05:00",5.648
"9/4/17","Monday","Fall","time06:00",20.768
"9/4/17","Monday","Fall","time07:00",18.3
"9/4/17","Monday","Fall","time08:00",8.388
"9/4/17","Monday","Fall","time09:00",6.88
"9/4/17","Monday","Fall","time10:00",8.436
"9/4/17","Monday","Fall","time11:00",10.24
"9/4/17","Monday","Fall","time12:00",10.432
"9/4/17","Monday","Fall","time13:00",11.968
"9/4/17","Monday","Fall","time14:00",12.856
"9/4/17","Monday","Fall","time15:00",11.848
"9/4/17","Monday","Fall","time16:00",11.52
"9/4/17","Monday","Fall","time17:00",12.204
"9/4/17","Monday","Fall","time18:00",9.5
"9/4/17","Monday","Fall","time19:00",7.352
"9/4/17","Monday","Fall","time20:00",7.212
"9/4/17","Monday","Fall","time21:00",6.648
"9/4/17","Monday","Fall","time22:00",6.996
"9/4/17","Monday","Fall","time23:00",6.088
"9/5/17","Tuesday","Fall","time00:00",6.272
"9/5/17","Tuesday","Fall","time01:00",5.7
"9/5/17","Tuesday","Fall","time02:00",5.796
"9/5/17","Tuesday","Fall","time03:00",5.456
"9/5/17","Tuesday","Fall","time04:00",5.352
"9/5/17","Tuesday","Fall","time05:00",6.16
"9/5/17","Tuesday","Fall","time06:00",44.52
"9/5/17","Tuesday","Fall","time07:00",43.264
"9/5/17","Tuesday","Fall","time08:00",51.076
"9/5/17","Tuesday","Fall","time09:00",60.028
"9/5/17","Tuesday","Fall","time10:00",66.508
"9/5/17","Tuesday","Fall","time11:00",76.332
"9/5/17","Tuesday","Fall","time12:00",77.436
"9/5/17","Tuesday","Fall","time13:00",85.008
"9/5/17","Tuesday","Fall","time14:00",86.884
"9/5/17","Tuesday","Fall","time15:00",79.764
"9/5/17","Tuesday","Fall","time16:00",63.252
"9/5/17","Tuesday","Fall","time17:00",35.52
"9/5/17","Tuesday","Fall","time18:00",27.468
"9/5/17","Tuesday","Fall","time19:00",17.94
"9/5/17","Tuesday","Fall","time20:00",15.324
"9/5/17","Tuesday","Fall","time21:00",12.984
"9/5/17","Tuesday","Fall","time22:00",10.34
"9/5/17","Tuesday","Fall","time23:00",8.604
"9/6/17","Wednesday","Fall","time00:00",6.592
"9/6/17","Wednesday","Fall","time01:00",6.672
"9/6/17","Wednesday","Fall","time02:00",6.568
"9/6/17","Wednesday","Fall","time03:00",6.3
"9/6/17","Wednesday","Fall","time04:00",6.372
"9/6/17","Wednesday","Fall","time05:00",6.544
"9/6/17","Wednesday","Fall","time06:00",33.336
"9/6/17","Wednesday","Fall","time07:00",27.94
"9/6/17","Wednesday","Fall","time08:00",41.06
"9/6/17","Wednesday","Fall","time09:00",50.544
"9/6/17","Wednesday","Fall","time10:00",61.508
"9/6/17","Wednesday","Fall","time11:00",69.84
"9/6/17","Wednesday","Fall","time12:00",73.768
"9/6/17","Wednesday","Fall","time13:00",84.068
"9/6/17","Wednesday","Fall","time14:00",80.912
"9/6/17","Wednesday","Fall","time15:00",78.096
"9/6/17","Wednesday","Fall","time16:00",56.804
"9/6/17","Wednesday","Fall","time17:00",38.136
"9/6/17","Wednesday","Fall","time18:00",27.396
"9/6/17","Wednesday","Fall","time19:00",18.34
"9/6/17","Wednesday","Fall","time20:00",11.604
"9/6/17","Wednesday","Fall","time21:00",13.756
"9/6/17","Wednesday","Fall","time22:00",10.552
"9/6/17","Wednesday","Fall","time23:00",8.224
"9/7/17","Thursday","Fall","time00:00",6.132
"9/7/17","Thursday","Fall","time01:00",5.736
"9/7/17","Thursday","Fall","time02:00",5.704
"9/7/17","Thursday","Fall","time03:00",5.428
"9/7/17","Thursday","Fall","time04:00",5.404
"9/7/17","Thursday","Fall","time05:00",6.064
"9/7/17","Thursday","Fall","time06:00",30.4
"9/7/17","Thursday","Fall","time07:00",23.768
"9/7/17","Thursday","Fall","time08:00",31.308
"9/7/17","Thursday","Fall","time09:00",39.492
"9/7/17","Thursday","Fall","time10:00",43.932
"9/7/17","Thursday","Fall","time11:00",53.02
"9/7/17","Thursday","Fall","time12:00",53.284
"9/7/17","Thursday","Fall","time13:00",62.648
"9/7/17","Thursday","Fall","time14:00",63.884
"9/7/17","Thursday","Fall","time15:00",56.992
"9/7/17","Thursday","Fall","time16:00",45.22
"9/7/17","Thursday","Fall","time17:00",29.772
"9/7/17","Thursday","Fall","time18:00",21.476
"9/7/17","Thursday","Fall","time19:00",14.86
"9/7/17","Thursday","Fall","time20:00",13.488
"9/7/17","Thursday","Fall","time21:00",10.132
"9/7/17","Thursday","Fall","time22:00",8.416
"9/7/17","Thursday","Fall","time23:00",7.152
"9/8/17","Friday","Fall","time00:00",6.252
"9/8/17","Friday","Fall","time01:00",5.868
"9/8/17","Friday","Fall","time02:00",5.824
"9/8/17","Friday","Fall","time03:00",6.124
"9/8/17","Friday","Fall","time04:00",5.788
"9/8/17","Friday","Fall","time05:00",6.44
"9/8/17","Friday","Fall","time06:00",22.404
"9/8/17","Friday","Fall","time07:00",19.412
"9/8/17","Friday","Fall","time08:00",23.396
"9/8/17","Friday","Fall","time09:00",33.428
"9/8/17","Friday","Fall","time10:00",41.844
"9/8/17","Friday","Fall","time11:00",52.516
"9/8/17","Friday","Fall","time12:00",54.776
"9/8/17","Friday","Fall","time13:00",62.16
"9/8/17","Friday","Fall","time14:00",68.06
"9/8/17","Friday","Fall","time15:00",66.648
"9/8/17","Friday","Fall","time16:00",46.464
"9/8/17","Friday","Fall","time17:00",23.7
"9/8/17","Friday","Fall","time18:00",20.624
"9/8/17","Friday","Fall","time19:00",14.188
"9/8/17","Friday","Fall","time20:00",12.576
"9/8/17","Friday","Fall","time21:00",9.86
"9/8/17","Friday","Fall","time22:00",6.904
"9/8/17","Friday","Fall","time23:00",6.632
"9/9/17","Saturday","Fall","time00:00",5.692
"9/9/17","Saturday","Fall","time01:00",5.544
"9/9/17","Saturday","Fall","time02:00",5.52
"9/9/17","Saturday","Fall","time03:00",5.396
"9/9/17","Saturday","Fall","time04:00",5.468
"9/9/17","Saturday","Fall","time05:00",5.82
"9/9/17","Saturday","Fall","time06:00",5.92
"9/9/17","Saturday","Fall","time07:00",5.076
"9/9/17","Saturday","Fall","time08:00",4.988
"9/9/17","Saturday","Fall","time09:00",5.508
"9/9/17","Saturday","Fall","time10:00",6.204
"9/9/17","Saturday","Fall","time11:00",6.904
"9/9/17","Saturday","Fall","time12:00",8.364
"9/9/17","Saturday","Fall","time13:00",9.02
"9/9/17","Saturday","Fall","time14:00",8.656
"9/9/17","Saturday","Fall","time15:00",8.476
"9/9/17","Saturday","Fall","time16:00",8.924
"9/9/17","Saturday","Fall","time17:00",9.404
"9/9/17","Saturday","Fall","time18:00",8.004
"9/9/17","Saturday","Fall","time19:00",6.832
"9/9/17","Saturday","Fall","time20:00",7.056
"9/9/17","Saturday","Fall","time21:00",6.412
"9/9/17","Saturday","Fall","time22:00",6.28
"9/9/17","Saturday","Fall","time23:00",6.224
"9/10/17","Sunday","Fall","time00:00",6.428
"9/10/17","Sunday","Fall","time01:00",5.964
"9/10/17","Sunday","Fall","time02:00",5.76
"9/10/17","Sunday","Fall","time03:00",5.632
"9/10/17","Sunday","Fall","time04:00",6.352
"9/10/17","Sunday","Fall","time05:00",9.62
"9/10/17","Sunday","Fall","time06:00",8.684
"9/10/17","Sunday","Fall","time07:00",7.396
"9/10/17","Sunday","Fall","time08:00",7.64
"9/10/17","Sunday","Fall","time09:00",7.38
"9/10/17","Sunday","Fall","time10:00",8.696
"9/10/17","Sunday","Fall","time11:00",9.596
"9/10/17","Sunday","Fall","time12:00",10.44
"9/10/17","Sunday","Fall","time13:00",8.424
"9/10/17","Sunday","Fall","time14:00",9.564
"9/10/17","Sunday","Fall","time15:00",11.676
"9/10/17","Sunday","Fall","time16:00",13.428
"9/10/17","Sunday","Fall","time17:00",12.124
"9/10/17","Sunday","Fall","time18:00",9.636
"9/10/17","Sunday","Fall","time19:00",8.336
"9/10/17","Sunday","Fall","time20:00",7.412
"9/10/17","Sunday","Fall","time21:00",7.412
"9/10/17","Sunday","Fall","time22:00",6.804
"9/10/17","Sunday","Fall","time23:00",6.688
"9/11/17","Monday","Fall","time00:00",6.4
"9/11/17","Monday","Fall","time01:00",6.488
"9/11/17","Monday","Fall","time02:00",6.088
"9/11/17","Monday","Fall","time03:00",6.154
"9/11/17","Monday","Fall","time04:00",5.78
"9/11/17","Monday","Fall","time05:00",7.048
"9/11/17","Monday","Fall","time06:00",34.362
"9/11/17","Monday","Fall","time07:00",34.404
"9/11/17","Monday","Fall","time08:00",37.576
"9/11/17","Monday","Fall","time09:00",52.828
"9/11/17","Monday","Fall","time10:00",65.14
"9/11/17","Monday","Fall","time11:00",75.004
"9/11/17","Monday","Fall","time12:00",73.424
"9/11/17","Monday","Fall","time13:00",83.408
"9/11/17","Monday","Fall","time14:00",82.04
"9/11/17","Monday","Fall","time15:00",70.068
"9/11/17","Monday","Fall","time16:00",52.656
"9/11/17","Monday","Fall","time17:00",32.108
"9/11/17","Monday","Fall","time18:00",26.34
"9/11/17","Monday","Fall","time19:00",23.936
"9/11/17","Monday","Fall","time20:00",15.432
"9/11/17","Monday","Fall","time21:00",10.94
"9/11/17","Monday","Fall","time22:00",8.288
"9/11/17","Monday","Fall","time23:00",6.96
"9/12/17","Tuesday","Fall","time00:00",5.968
"9/12/17","Tuesday","Fall","time01:00",5.788
"9/12/17","Tuesday","Fall","time02:00",5.544
"9/12/17","Tuesday","Fall","time03:00",5.336
"9/12/17","Tuesday","Fall","time04:00",5.16
"9/12/17","Tuesday","Fall","time05:00",5.5
"9/12/17","Tuesday","Fall","time06:00",27.336
"9/12/17","Tuesday","Fall","time07:00",27.376
"9/12/17","Tuesday","Fall","time08:00",40.244
"9/12/17","Tuesday","Fall","time09:00",45.772
"9/12/17","Tuesday","Fall","time10:00",57.984
"9/12/17","Tuesday","Fall","time11:00",69.244
"9/12/17","Tuesday","Fall","time12:00",73.128
"9/12/17","Tuesday","Fall","time13:00",79.6
"9/12/17","Tuesday","Fall","time14:00",78.556
"9/12/17","Tuesday","Fall","time15:00",71.256
"9/12/17","Tuesday","Fall","time16:00",52.176
"9/12/17","Tuesday","Fall","time17:00",36.332
"9/12/17","Tuesday","Fall","time18:00",26.94
"9/12/17","Tuesday","Fall","time19:00",17.248
"9/12/17","Tuesday","Fall","time20:00",13.28
"9/12/17","Tuesday","Fall","time21:00",10.124
"9/12/17","Tuesday","Fall","time22:00",8.78
"9/12/17","Tuesday","Fall","time23:00",7.096
"9/13/17","Wednesday","Fall","time00:00",5.712
"9/13/17","Wednesday","Fall","time01:00",5.248
"9/13/17","Wednesday","Fall","time02:00",5.22
"9/13/17","Wednesday","Fall","time03:00",5.416
"9/13/17","Wednesday","Fall","time04:00",5.064
"9/13/17","Wednesday","Fall","time05:00",5.932
"9/13/17","Wednesday","Fall","time06:00",27.232
"9/13/17","Wednesday","Fall","time07:00",25.984
"9/13/17","Wednesday","Fall","time08:00",29.124
"9/13/17","Wednesday","Fall","time09:00",42.688
"9/13/17","Wednesday","Fall","time10:00",48.004
"9/13/17","Wednesday","Fall","time11:00",56.036
"9/13/17","Wednesday","Fall","time12:00",56.496
"9/13/17","Wednesday","Fall","time13:00",60.664
"9/13/17","Wednesday","Fall","time14:00",60.052
"9/13/17","Wednesday","Fall","time15:00",53.656
"9/13/17","Wednesday","Fall","time16:00",39.872
"9/13/17","Wednesday","Fall","time17:00",24.524
"9/13/17","Wednesday","Fall","time18:00",19.728
"9/13/17","Wednesday","Fall","time19:00",13.564
"9/13/17","Wednesday","Fall","time20:00",10.72
"9/13/17","Wednesday","Fall","time21:00",11.06
"9/13/17","Wednesday","Fall","time22:00",8.168
"9/13/17","Wednesday","Fall","time23:00",6.248
"9/14/17","Thursday","Fall","time00:00",5.568
"9/14/17","Thursday","Fall","time01:00",5.224
"9/14/17","Thursday","Fall","time02:00",5.128
"9/14/17","Thursday","Fall","time03:00",5.256
"9/14/17","Thursday","Fall","time04:00",5.348
"9/14/17","Thursday","Fall","time05:00",5.848
"9/14/17","Thursday","Fall","time06:00",20.44
"9/14/17","Thursday","Fall","time07:00",17.852
"9/14/17","Thursday","Fall","time08:00",23.644
"9/14/17","Thursday","Fall","time09:00",30.856
"9/14/17","Thursday","Fall","time10:00",37.564
"9/14/17","Thursday","Fall","time11:00",45.908
"9/14/17","Thursday","Fall","time12:00",46.38
"9/14/17","Thursday","Fall","time13:00",54.02
"9/14/17","Thursday","Fall","time14:00",56.74
"9/14/17","Thursday","Fall","time15:00",50.528
"9/14/17","Thursday","Fall","time16:00",37.196
"9/14/17","Thursday","Fall","time17:00",23.52
"9/14/17","Thursday","Fall","time18:00",21.112
"9/14/17","Thursday","Fall","time19:00",14.176
"9/14/17","Thursday","Fall","time20:00",9.672
"9/14/17","Thursday","Fall","time21:00",8.384
"9/14/17","Thursday","Fall","time22:00",7.036
"9/14/17","Thursday","Fall","time23:00",5.852
"9/15/17","Friday","Fall","time00:00",5.376
"9/15/17","Friday","Fall","time01:00",5.62
"9/15/17","Friday","Fall","time02:00",5.352
"9/15/17","Friday","Fall","time03:00",5.324
"9/15/17","Friday","Fall","time04:00",5.376
"9/15/17","Friday","Fall","time05:00",6.3
"9/15/17","Friday","Fall","time06:00",15.348
"9/15/17","Friday","Fall","time07:00",15.992
"9/15/17","Friday","Fall","time08:00",20.432
"9/15/17","Friday","Fall","time09:00",27.812
"9/15/17","Friday","Fall","time10:00",35.18
"9/15/17","Friday","Fall","time11:00",42.996
"9/15/17","Friday","Fall","time12:00",45.812
"9/15/17","Friday","Fall","time13:00",52.728
"9/15/17","Friday","Fall","time14:00",55.908
"9/15/17","Friday","Fall","time15:00",47.744
"9/15/17","Friday","Fall","time16:00",35.424
"9/15/17","Friday","Fall","time17:00",19.92
"9/15/17","Friday","Fall","time18:00",14.46
"9/15/17","Friday","Fall","time19:00",11.164
"9/15/17","Friday","Fall","time20:00",11.424
"9/15/17","Friday","Fall","time21:00",8.6
"9/15/17","Friday","Fall","time22:00",6.68
"9/15/17","Friday","Fall","time23:00",5.74
"9/16/17","Saturday","Fall","time00:00",5.372
"9/16/17","Saturday","Fall","time01:00",5.096
"9/16/17","Saturday","Fall","time02:00",5.224
"9/16/17","Saturday","Fall","time03:00",5.124
"9/16/17","Saturday","Fall","time04:00",5.256
"9/16/17","Saturday","Fall","time05:00",5.096
"9/16/17","Saturday","Fall","time06:00",5.096
"9/16/17","Saturday","Fall","time07:00",4.272
"9/16/17","Saturday","Fall","time08:00",3.84
"9/16/17","Saturday","Fall","time09:00",4.512
"9/16/17","Saturday","Fall","time10:00",4.756
"9/16/17","Saturday","Fall","time11:00",5.076
"9/16/17","Saturday","Fall","time12:00",5.548
"9/16/17","Saturday","Fall","time13:00",5.4
"9/16/17","Saturday","Fall","time14:00",5.356
"9/16/17","Saturday","Fall","time15:00",5.74
"9/16/17","Saturday","Fall","time16:00",5.916
"9/16/17","Saturday","Fall","time17:00",6.032
"9/16/17","Saturday","Fall","time18:00",5.804
"9/16/17","Saturday","Fall","time19:00",5.8
"9/16/17","Saturday","Fall","time20:00",5.996
"9/16/17","Saturday","Fall","time21:00",5.492
"9/16/17","Saturday","Fall","time22:00",5.5
"9/16/17","Saturday","Fall","time23:00",5.408
"9/17/17","Sunday","Fall","time00:00",5.476
"9/17/17","Sunday","Fall","time01:00",5.26
"9/17/17","Sunday","Fall","time02:00",5.324
"9/17/17","Sunday","Fall","time03:00",5.32
"9/17/17","Sunday","Fall","time04:00",5.972
"9/17/17","Sunday","Fall","time05:00",8.64
"9/17/17","Sunday","Fall","time06:00",7.3
"9/17/17","Sunday","Fall","time07:00",6.296
"9/17/17","Sunday","Fall","time08:00",6.268
"9/17/17","Sunday","Fall","time09:00",6.848
"9/17/17","Sunday","Fall","time10:00",7.5
"9/17/17","Sunday","Fall","time11:00",7.572
"9/17/17","Sunday","Fall","time12:00",8.188
"9/17/17","Sunday","Fall","time13:00",5.812
"9/17/17","Sunday","Fall","time14:00",6.236
"9/17/17","Sunday","Fall","time15:00",6.4
"9/17/17","Sunday","Fall","time16:00",6.532
"9/17/17","Sunday","Fall","time17:00",6.328
"9/17/17","Sunday","Fall","time18:00",5.764
"9/17/17","Sunday","Fall","time19:00",5.3
"9/17/17","Sunday","Fall","time20:00",6.008
"9/17/17","Sunday","Fall","time21:00",5.436
"9/17/17","Sunday","Fall","time22:00",5.468
"9/17/17","Sunday","Fall","time23:00",5.34
"9/18/17","Monday","Fall","time00:00",5.18
"9/18/17","Monday","Fall","time01:00",5.228
"9/18/17","Monday","Fall","time02:00",5.192
"9/18/17","Monday","Fall","time03:00",5.252
"9/18/17","Monday","Fall","time04:00",5.096
"9/18/17","Monday","Fall","time05:00",5.952
"9/18/17","Monday","Fall","time06:00",16.16
"9/18/17","Monday","Fall","time07:00",13.412
"9/18/17","Monday","Fall","time08:00",17.728
"9/18/17","Monday","Fall","time09:00",24.424
"9/18/17","Monday","Fall","time10:00",29.652
"9/18/17","Monday","Fall","time11:00",40.476
"9/18/17","Monday","Fall","time12:00",46.064
"9/18/17","Monday","Fall","time13:00",49.488
"9/18/17","Monday","Fall","time14:00",54.028
