"DATE","day","season","variable","mean_kWh"
"11/1/17","Wednesday","Winter","time00:00",243.275
"11/1/17","Wednesday","Winter","time01:00",155.89
"11/1/17","Wednesday","Winter","time02:00",123.255
"11/1/17","Wednesday","Winter","time03:00",123.365
"11/1/17","Wednesday","Winter","time04:00",124.095
"11/1/17","Wednesday","Winter","time05:00",153.925
"11/1/17","Wednesday","Winter","time06:00",245.57
"11/1/17","Wednesday","Winter","time07:00",326.36
"11/1/17","Wednesday","Winter","time08:00",374.165
"11/1/17","Wednesday","Winter","time09:00",416.465
"11/1/17","Wednesday","Winter","time10:00",414.255
"11/1/17","Wednesday","Winter","time11:00",424.595
"11/1/17","Wednesday","Winter","time12:00",423.64
"11/1/17","Wednesday","Winter","time13:00",432.89
"11/1/17","Wednesday","Winter","time14:00",425.76
"11/1/17","Wednesday","Winter","time15:00",379.27
"11/1/17","Wednesday","Winter","time16:00",332.235
"11/1/17","Wednesday","Winter","time17:00",278.135
"11/1/17","Wednesday","Winter","time18:00",367.81
"11/1/17","Wednesday","Winter","time19:00",352.51
"11/1/17","Wednesday","Winter","time20:00",315.795
"11/1/17","Wednesday","Winter","time21:00",240.225
"11/1/17","Wednesday","Winter","time22:00",285.93
"11/1/17","Wednesday","Winter","time23:00",252.865
"11/2/17","Thursday","Winter","time00:00",212.59
"11/2/17","Thursday","Winter","time01:00",144.09
"11/2/17","Thursday","Winter","time02:00",125.54
"11/2/17","Thursday","Winter","time03:00",123.64
"11/2/17","Thursday","Winter","time04:00",127.34
"11/2/17","Thursday","Winter","time05:00",162.735
"11/2/17","Thursday","Winter","time06:00",277.425
"11/2/17","Thursday","Winter","time07:00",401.735
"11/2/17","Thursday","Winter","time08:00",401.75
"11/2/17","Thursday","Winter","time09:00",406.675
"11/2/17","Thursday","Winter","time10:00",410.705
"11/2/17","Thursday","Winter","time11:00",404.83
"11/2/17","Thursday","Winter","time12:00",396.55
"11/2/17","Thursday","Winter","time13:00",400.295
"11/2/17","Thursday","Winter","time14:00",394.97
"11/2/17","Thursday","Winter","time15:00",350.77
"11/2/17","Thursday","Winter","time16:00",316.345
"11/2/17","Thursday","Winter","time17:00",293.215
"11/2/17","Thursday","Winter","time18:00",357.825
"11/2/17","Thursday","Winter","time19:00",352.605
"11/2/17","Thursday","Winter","time20:00",314.69
"11/2/17","Thursday","Winter","time21:00",243.64
"11/2/17","Thursday","Winter","time22:00",200.665
"11/2/17","Thursday","Winter","time23:00",162.045
"11/3/17","Friday","Winter","time00:00",162.71
"11/3/17","Friday","Winter","time01:00",130.38
"11/3/17","Friday","Winter","time02:00",132.49
"11/3/17","Friday","Winter","time03:00",129.47
"11/3/17","Friday","Winter","time04:00",136.645
"11/3/17","Friday","Winter","time05:00",165.13
"11/3/17","Friday","Winter","time06:00",269.15
"11/3/17","Friday","Winter","time07:00",371.255
"11/3/17","Friday","Winter","time08:00",412.715
"11/3/17","Friday","Winter","time09:00",407.785
"11/3/17","Friday","Winter","time10:00",422.76
"11/3/17","Friday","Winter","time11:00",422.295
"11/3/17","Friday","Winter","time12:00",409.53
"11/3/17","Friday","Winter","time13:00",422.05
"11/3/17","Friday","Winter","time14:00",406.775
"11/3/17","Friday","Winter","time15:00",410.935
"11/3/17","Friday","Winter","time16:00",385.13
"11/3/17","Friday","Winter","time17:00",348.715
"11/3/17","Friday","Winter","time18:00",408.98
"11/3/17","Friday","Winter","time19:00",365.895
"11/3/17","Friday","Winter","time20:00",327.885
"11/3/17","Friday","Winter","time21:00",283.82
"11/3/17","Friday","Winter","time22:00",240.62
"11/3/17","Friday","Winter","time23:00",217.725
"11/4/17","Saturday","Winter","time00:00",206.925
"11/4/17","Saturday","Winter","time01:00",198.055
"11/4/17","Saturday","Winter","time02:00",196.13
"11/4/17","Saturday","Winter","time03:00",200.4
"11/4/17","Saturday","Winter","time04:00",173.93
"11/4/17","Saturday","Winter","time05:00",145.255
"11/4/17","Saturday","Winter","time06:00",157.235
"11/4/17","Saturday","Winter","time07:00",198.87
"11/4/17","Saturday","Winter","time08:00",193.31
"11/4/17","Saturday","Winter","time09:00",199.565
"11/4/17","Saturday","Winter","time10:00",201.375
"11/4/17","Saturday","Winter","time11:00",197.45
"11/4/17","Saturday","Winter","time12:00",191.885
"11/4/17","Saturday","Winter","time13:00",189.97
"11/4/17","Saturday","Winter","time14:00",185.5
"11/4/17","Saturday","Winter","time15:00",176.33
"11/4/17","Saturday","Winter","time16:00",173.05
"11/4/17","Saturday","Winter","time17:00",214.81
"11/4/17","Saturday","Winter","time18:00",289.14
"11/4/17","Saturday","Winter","time19:00",306.725
"11/4/17","Saturday","Winter","time20:00",306.02
"11/4/17","Saturday","Winter","time21:00",279.785
"11/4/17","Saturday","Winter","time22:00",238.78
"11/4/17","Saturday","Winter","time23:00",226.28
"11/5/17","Sunday","Winter","time00:00",175.51
"11/5/17","Sunday","Winter","time01:00",148.6225
"11/5/17","Sunday","Winter","time02:00",121.185
"11/5/17","Sunday","Winter","time03:00",120.755
"11/5/17","Sunday","Winter","time04:00",123.785
"11/5/17","Sunday","Winter","time05:00",128.77
"11/5/17","Sunday","Winter","time06:00",130.9
"11/5/17","Sunday","Winter","time07:00",134.05
"11/5/17","Sunday","Winter","time08:00",138.02
"11/5/17","Sunday","Winter","time09:00",140.645
"11/5/17","Sunday","Winter","time10:00",142.6
"11/5/17","Sunday","Winter","time11:00",140.755
"11/5/17","Sunday","Winter","time12:00",139.1
"11/5/17","Sunday","Winter","time13:00",137.385
"11/5/17","Sunday","Winter","time14:00",129.8
"11/5/17","Sunday","Winter","time15:00",130.62
"11/5/17","Sunday","Winter","time16:00",131.015
"11/5/17","Sunday","Winter","time17:00",163.585
"11/5/17","Sunday","Winter","time18:00",177.335
"11/5/17","Sunday","Winter","time19:00",170.19
"11/5/17","Sunday","Winter","time20:00",175.47
"11/5/17","Sunday","Winter","time21:00",166.79
"11/5/17","Sunday","Winter","time22:00",161.385
"11/5/17","Sunday","Winter","time23:00",154.28
"11/6/17","Monday","Winter","time00:00",163.315
"11/6/17","Monday","Winter","time01:00",122.335
"11/6/17","Monday","Winter","time02:00",121.91
"11/6/17","Monday","Winter","time03:00",121.605
"11/6/17","Monday","Winter","time04:00",123.365
"11/6/17","Monday","Winter","time05:00",164.025
"11/6/17","Monday","Winter","time06:00",243.07
"11/6/17","Monday","Winter","time07:00",333.59
"11/6/17","Monday","Winter","time08:00",386.645
"11/6/17","Monday","Winter","time09:00",390.14
"11/6/17","Monday","Winter","time10:00",406.375
"11/6/17","Monday","Winter","time11:00",420.595
"11/6/17","Monday","Winter","time12:00",412.33
"11/6/17","Monday","Winter","time13:00",418.42
"11/6/17","Monday","Winter","time14:00",409.41
"11/6/17","Monday","Winter","time15:00",373.415
"11/6/17","Monday","Winter","time16:00",338.44
"11/6/17","Monday","Winter","time17:00",407.985
"11/6/17","Monday","Winter","time18:00",416.625
"11/6/17","Monday","Winter","time19:00",369.21
"11/6/17","Monday","Winter","time20:00",336.885
"11/6/17","Monday","Winter","time21:00",255.61
"11/6/17","Monday","Winter","time22:00",294.195
"11/6/17","Monday","Winter","time23:00",252.79
"11/7/17","Tuesday","Winter","time00:00",239.32
"11/7/17","Tuesday","Winter","time01:00",217.055
"11/7/17","Tuesday","Winter","time02:00",214.57
"11/7/17","Tuesday","Winter","time03:00",214.52
"11/7/17","Tuesday","Winter","time04:00",216.885
"11/7/17","Tuesday","Winter","time05:00",241.92
"11/7/17","Tuesday","Winter","time06:00",249.12
"11/7/17","Tuesday","Winter","time07:00",336.98
"11/7/17","Tuesday","Winter","time08:00",392.01
"11/7/17","Tuesday","Winter","time09:00",408.455
"11/7/17","Tuesday","Winter","time10:00",401.215
"11/7/17","Tuesday","Winter","time11:00",409.805
"11/7/17","Tuesday","Winter","time12:00",409.675
"11/7/17","Tuesday","Winter","time13:00",412.15
"11/7/17","Tuesday","Winter","time14:00",403.15
"11/7/17","Tuesday","Winter","time15:00",369.815
"11/7/17","Tuesday","Winter","time16:00",331.23
"11/7/17","Tuesday","Winter","time17:00",402.79
"11/7/17","Tuesday","Winter","time18:00",432.17
"11/7/17","Tuesday","Winter","time19:00",407.255
"11/7/17","Tuesday","Winter","time20:00",379.37
"11/7/17","Tuesday","Winter","time21:00",273.96
"11/7/17","Tuesday","Winter","time22:00",302.26
"11/7/17","Tuesday","Winter","time23:00",258.04
"11/8/17","Wednesday","Winter","time00:00",239.595
"11/8/17","Wednesday","Winter","time01:00",166.01
"11/8/17","Wednesday","Winter","time02:00",128.995
"11/8/17","Wednesday","Winter","time03:00",128.83
"11/8/17","Wednesday","Winter","time04:00",130.865
"11/8/17","Wednesday","Winter","time05:00",170.18
"11/8/17","Wednesday","Winter","time06:00",242.335
"11/8/17","Wednesday","Winter","time07:00",314.27
"11/8/17","Wednesday","Winter","time08:00",380.08
"11/8/17","Wednesday","Winter","time09:00",414.23
"11/8/17","Wednesday","Winter","time10:00",415.03
"11/8/17","Wednesday","Winter","time11:00",416.56
"11/8/17","Wednesday","Winter","time12:00",410.675
"11/8/17","Wednesday","Winter","time13:00",415.19
"11/8/17","Wednesday","Winter","time14:00",415.605
"11/8/17","Wednesday","Winter","time15:00",374.715
"11/8/17","Wednesday","Winter","time16:00",364.31
"11/8/17","Wednesday","Winter","time17:00",417.025
"11/8/17","Wednesday","Winter","time18:00",428.18
"11/8/17","Wednesday","Winter","time19:00",369.77
"11/8/17","Wednesday","Winter","time20:00",318.76
"11/8/17","Wednesday","Winter","time21:00",241.005
"11/8/17","Wednesday","Winter","time22:00",281.775
"11/8/17","Wednesday","Winter","time23:00",250.295
"11/9/17","Thursday","Winter","time00:00",234.265
"11/9/17","Thursday","Winter","time01:00",128.46
"11/9/17","Thursday","Winter","time02:00",124.905
"11/9/17","Thursday","Winter","time03:00",126.5
"11/9/17","Thursday","Winter","time04:00",126.605
"11/9/17","Thursday","Winter","time05:00",164.76
"11/9/17","Thursday","Winter","time06:00",257.95
"11/9/17","Thursday","Winter","time07:00",320.545
"11/9/17","Thursday","Winter","time08:00",392.19
"11/9/17","Thursday","Winter","time09:00",411.36
"11/9/17","Thursday","Winter","time10:00",424.81
"11/9/17","Thursday","Winter","time11:00",433.565
"11/9/17","Thursday","Winter","time12:00",426.47
"11/9/17","Thursday","Winter","time13:00",435.63
"11/9/17","Thursday","Winter","time14:00",454.435
"11/9/17","Thursday","Winter","time15:00",431.94
"11/9/17","Thursday","Winter","time16:00",365.735
"11/9/17","Thursday","Winter","time17:00",380.92
"11/9/17","Thursday","Winter","time18:00",433.41
"11/9/17","Thursday","Winter","time19:00",419.735
"11/9/17","Thursday","Winter","time20:00",366.61
"11/9/17","Thursday","Winter","time21:00",308.38
"11/9/17","Thursday","Winter","time22:00",356.155
"11/9/17","Thursday","Winter","time23:00",309.445
"11/10/17","Friday","Winter","time00:00",243.77
"11/10/17","Friday","Winter","time01:00",243.775
"11/10/17","Friday","Winter","time02:00",171.605
"11/10/17","Friday","Winter","time03:00",122.7
"11/10/17","Friday","Winter","time04:00",125.435
"11/10/17","Friday","Winter","time05:00",149.755
"11/10/17","Friday","Winter","time06:00",161.915
"11/10/17","Friday","Winter","time07:00",156.485
"11/10/17","Friday","Winter","time08:00",161.96
"11/10/17","Friday","Winter","time09:00",172.5
"11/10/17","Friday","Winter","time10:00",176.77
"11/10/17","Friday","Winter","time11:00",180.915
"11/10/17","Friday","Winter","time12:00",184.445
"11/10/17","Friday","Winter","time13:00",179.165
"11/10/17","Friday","Winter","time14:00",177.145
"11/10/17","Friday","Winter","time15:00",180.43
"11/10/17","Friday","Winter","time16:00",187.335
"11/10/17","Friday","Winter","time17:00",291.05
"11/10/17","Friday","Winter","time18:00",325.455
"11/10/17","Friday","Winter","time19:00",313.615
"11/10/17","Friday","Winter","time20:00",280.105
"11/10/17","Friday","Winter","time21:00",224.735
"11/10/17","Friday","Winter","time22:00",232.43
"11/10/17","Friday","Winter","time23:00",157.46
"11/11/17","Saturday","Winter","time00:00",141.635
"11/11/17","Saturday","Winter","time01:00",123.64
"11/11/17","Saturday","Winter","time02:00",121.615
"11/11/17","Saturday","Winter","time03:00",119.69
"11/11/17","Saturday","Winter","time04:00",121.075
"11/11/17","Saturday","Winter","time05:00",132.04
"11/11/17","Saturday","Winter","time06:00",139.355
"11/11/17","Saturday","Winter","time07:00",131.82
"11/11/17","Saturday","Winter","time08:00",142.37
"11/11/17","Saturday","Winter","time09:00",155.615
"11/11/17","Saturday","Winter","time10:00",165.385
"11/11/17","Saturday","Winter","time11:00",165.43
"11/11/17","Saturday","Winter","time12:00",166.52
"11/11/17","Saturday","Winter","time13:00",155.96
"11/11/17","Saturday","Winter","time14:00",156.015
"11/11/17","Saturday","Winter","time15:00",151.66
"11/11/17","Saturday","Winter","time16:00",147.015
"11/11/17","Saturday","Winter","time17:00",176.71
"11/11/17","Saturday","Winter","time18:00",187.6
"11/11/17","Saturday","Winter","time19:00",187.98
"11/11/17","Saturday","Winter","time20:00",195.4
"11/11/17","Saturday","Winter","time21:00",190.815
"11/11/17","Saturday","Winter","time22:00",174.5
"11/11/17","Saturday","Winter","time23:00",158.81
"11/12/17","Sunday","Winter","time00:00",160.385
"11/12/17","Sunday","Winter","time01:00",122.535
"11/12/17","Sunday","Winter","time02:00",119.555
"11/12/17","Sunday","Winter","time03:00",115.465
"11/12/17","Sunday","Winter","time04:00",118.375
"11/12/17","Sunday","Winter","time05:00",123.35
"11/12/17","Sunday","Winter","time06:00",133.68
"11/12/17","Sunday","Winter","time07:00",136.055
"11/12/17","Sunday","Winter","time08:00",135.29
"11/12/17","Sunday","Winter","time09:00",137.015
"11/12/17","Sunday","Winter","time10:00",135.335
"11/12/17","Sunday","Winter","time11:00",141.06
"11/12/17","Sunday","Winter","time12:00",140.27
"11/12/17","Sunday","Winter","time13:00",134.055
"11/12/17","Sunday","Winter","time14:00",127.84
"11/12/17","Sunday","Winter","time15:00",127.025
"11/12/17","Sunday","Winter","time16:00",126.94
"11/12/17","Sunday","Winter","time17:00",150.26
"11/12/17","Sunday","Winter","time18:00",168.105
"11/12/17","Sunday","Winter","time19:00",170.995
"11/12/17","Sunday","Winter","time20:00",175.25
"11/12/17","Sunday","Winter","time21:00",166.745
"11/12/17","Sunday","Winter","time22:00",243.265
"11/12/17","Sunday","Winter","time23:00",240.575
"11/13/17","Monday","Winter","time00:00",146.345
"11/13/17","Monday","Winter","time01:00",117.76
"11/13/17","Monday","Winter","time02:00",115.98
"11/13/17","Monday","Winter","time03:00",116.92
"11/13/17","Monday","Winter","time04:00",119.815
"11/13/17","Monday","Winter","time05:00",165.65
"11/13/17","Monday","Winter","time06:00",246.505
"11/13/17","Monday","Winter","time07:00",322.655
"11/13/17","Monday","Winter","time08:00",386.73
"11/13/17","Monday","Winter","time09:00",417.32
"11/13/17","Monday","Winter","time10:00",420.52
"11/13/17","Monday","Winter","time11:00",422.055
"11/13/17","Monday","Winter","time12:00",411.425
"11/13/17","Monday","Winter","time13:00",420.72
"11/13/17","Monday","Winter","time14:00",407.485
"11/13/17","Monday","Winter","time15:00",377.07
"11/13/17","Monday","Winter","time16:00",325
"11/13/17","Monday","Winter","time17:00",389.33
"11/13/17","Monday","Winter","time18:00",412.795
"11/13/17","Monday","Winter","time19:00",369.315
"11/13/17","Monday","Winter","time20:00",329.335
"11/13/17","Monday","Winter","time21:00",213.255
"11/13/17","Monday","Winter","time22:00",180.285
"11/13/17","Monday","Winter","time23:00",159.51
"11/14/17","Tuesday","Winter","time00:00",145.02
"11/14/17","Tuesday","Winter","time01:00",126.475
"11/14/17","Tuesday","Winter","time02:00",124.385
"11/14/17","Tuesday","Winter","time03:00",124.4
"11/14/17","Tuesday","Winter","time04:00",127.15
"11/14/17","Tuesday","Winter","time05:00",160.455
"11/14/17","Tuesday","Winter","time06:00",241.34
"11/14/17","Tuesday","Winter","time07:00",328.02
"11/14/17","Tuesday","Winter","time08:00",393.035
"11/14/17","Tuesday","Winter","time09:00",408.525
"11/14/17","Tuesday","Winter","time10:00",389.925
"11/14/17","Tuesday","Winter","time11:00",393.98
"11/14/17","Tuesday","Winter","time12:00",385.525
"11/14/17","Tuesday","Winter","time13:00",394.86
"11/14/17","Tuesday","Winter","time14:00",371.92
"11/14/17","Tuesday","Winter","time15:00",334.425
"11/14/17","Tuesday","Winter","time16:00",290.27
"11/14/17","Tuesday","Winter","time17:00",369.345
"11/14/17","Tuesday","Winter","time18:00",397.09
"11/14/17","Tuesday","Winter","time19:00",383.91
"11/14/17","Tuesday","Winter","time20:00",369.375
"11/14/17","Tuesday","Winter","time21:00",278.845
"11/14/17","Tuesday","Winter","time22:00",195.415
"11/14/17","Tuesday","Winter","time23:00",158.505
"11/15/17","Wednesday","Winter","time00:00",141.045
"11/15/17","Wednesday","Winter","time01:00",121.405
"11/15/17","Wednesday","Winter","time02:00",121.66
"11/15/17","Wednesday","Winter","time03:00",119.47
"11/15/17","Wednesday","Winter","time04:00",121.7
"11/15/17","Wednesday","Winter","time05:00",157.72
"11/15/17","Wednesday","Winter","time06:00",239.125
"11/15/17","Wednesday","Winter","time07:00",305.15
"11/15/17","Wednesday","Winter","time08:00",368.525
"11/15/17","Wednesday","Winter","time09:00",383.145
"11/15/17","Wednesday","Winter","time10:00",392.905
"11/15/17","Wednesday","Winter","time11:00",402.545
"11/15/17","Wednesday","Winter","time12:00",377.385
"11/15/17","Wednesday","Winter","time13:00",385.115
"11/15/17","Wednesday","Winter","time14:00",388.795
"11/15/17","Wednesday","Winter","time15:00",341.195
"11/15/17","Wednesday","Winter","time16:00",303.18
"11/15/17","Wednesday","Winter","time17:00",358.64
"11/15/17","Wednesday","Winter","time18:00",319.875
"11/15/17","Wednesday","Winter","time19:00",269.12
"11/15/17","Wednesday","Winter","time20:00",262.77
"11/15/17","Wednesday","Winter","time21:00",221.21
"11/15/17","Wednesday","Winter","time22:00",181.96
"11/15/17","Wednesday","Winter","time23:00",153.115
"11/16/17","Thursday","Winter","time00:00",137.94
"11/16/17","Thursday","Winter","time01:00",116.645
"11/16/17","Thursday","Winter","time02:00",116.13
"11/16/17","Thursday","Winter","time03:00",118.2
"11/16/17","Thursday","Winter","time04:00",119.35
"11/16/17","Thursday","Winter","time05:00",155.32
"11/16/17","Thursday","Winter","time06:00",235.67
"11/16/17","Thursday","Winter","time07:00",314.315
"11/16/17","Thursday","Winter","time08:00",370.91
"11/16/17","Thursday","Winter","time09:00",384.105
"11/16/17","Thursday","Winter","time10:00",396.72
"11/16/17","Thursday","Winter","time11:00",395.1
"11/16/17","Thursday","Winter","time12:00",384.125
"11/16/17","Thursday","Winter","time13:00",377.75
"11/16/17","Thursday","Winter","time14:00",372.175
"11/16/17","Thursday","Winter","time15:00",331.325
"11/16/17","Thursday","Winter","time16:00",327.6
"11/16/17","Thursday","Winter","time17:00",322.735
"11/16/17","Thursday","Winter","time18:00",303.42
"11/16/17","Thursday","Winter","time19:00",295.99
"11/16/17","Thursday","Winter","time20:00",287.175
"11/16/17","Thursday","Winter","time21:00",209.465
"11/16/17","Thursday","Winter","time22:00",179.235
"11/16/17","Thursday","Winter","time23:00",147.49
"11/17/17","Friday","Winter","time00:00",143.65
"11/17/17","Friday","Winter","time01:00",119.53
"11/17/17","Friday","Winter","time02:00",117.54
"11/17/17","Friday","Winter","time03:00",116.195
"11/17/17","Friday","Winter","time04:00",120.095
"11/17/17","Friday","Winter","time05:00",156.19
"11/17/17","Friday","Winter","time06:00",247.635
"11/17/17","Friday","Winter","time07:00",351.73
"11/17/17","Friday","Winter","time08:00",416.96
"11/17/17","Friday","Winter","time09:00",425.92
"11/17/17","Friday","Winter","time10:00",398.26
"11/17/17","Friday","Winter","time11:00",388.265
"11/17/17","Friday","Winter","time12:00",377.18
"11/17/17","Friday","Winter","time13:00",381.265
"11/17/17","Friday","Winter","time14:00",367.255
"11/17/17","Friday","Winter","time15:00",346.355
"11/17/17","Friday","Winter","time16:00",300.965
"11/17/17","Friday","Winter","time17:00",336.19
"11/17/17","Friday","Winter","time18:00",343.1
"11/17/17","Friday","Winter","time19:00",343.805
"11/17/17","Friday","Winter","time20:00",333.615
"11/17/17","Friday","Winter","time21:00",259.325
"11/17/17","Friday","Winter","time22:00",226.605
"11/17/17","Friday","Winter","time23:00",192.605
"11/18/17","Saturday","Winter","time00:00",154.74
"11/18/17","Saturday","Winter","time01:00",144.11
"11/18/17","Saturday","Winter","time02:00",117.715
"11/18/17","Saturday","Winter","time03:00",115.935
"11/18/17","Saturday","Winter","time04:00",117.015
"11/18/17","Saturday","Winter","time05:00",125.815
"11/18/17","Saturday","Winter","time06:00",130.53
"11/18/17","Saturday","Winter","time07:00",125.24
"11/18/17","Saturday","Winter","time08:00",138.945
"11/18/17","Saturday","Winter","time09:00",141.39
"11/18/17","Saturday","Winter","time10:00",146.26
"11/18/17","Saturday","Winter","time11:00",148.205
"11/18/17","Saturday","Winter","time12:00",157.605
"11/18/17","Saturday","Winter","time13:00",156.32
"11/18/17","Saturday","Winter","time14:00",150.97
"11/18/17","Saturday","Winter","time15:00",154.28
"11/18/17","Saturday","Winter","time16:00",143.485
"11/18/17","Saturday","Winter","time17:00",170.48
"11/18/17","Saturday","Winter","time18:00",173.075
"11/18/17","Saturday","Winter","time19:00",176.3
"11/18/17","Saturday","Winter","time20:00",179.835
"11/18/17","Saturday","Winter","time21:00",171.255
"11/18/17","Saturday","Winter","time22:00",162.875
"11/18/17","Saturday","Winter","time23:00",158.47
"11/19/17","Sunday","Winter","time00:00",138.905
"11/19/17","Sunday","Winter","time01:00",126.57
"11/19/17","Sunday","Winter","time02:00",123.135
"11/19/17","Sunday","Winter","time03:00",122.585
"11/19/17","Sunday","Winter","time04:00",124.165
"11/19/17","Sunday","Winter","time05:00",129.56
"11/19/17","Sunday","Winter","time06:00",139.1
"11/19/17","Sunday","Winter","time07:00",147.06
"11/19/17","Sunday","Winter","time08:00",143.63
"11/19/17","Sunday","Winter","time09:00",129.96
"11/19/17","Sunday","Winter","time10:00",132.895
"11/19/17","Sunday","Winter","time11:00",135.87
"11/19/17","Sunday","Winter","time12:00",136.705
"11/19/17","Sunday","Winter","time13:00",132.87
"11/19/17","Sunday","Winter","time14:00",127.1
"11/19/17","Sunday","Winter","time15:00",126.225
"11/19/17","Sunday","Winter","time16:00",127.652
"11/19/17","Sunday","Winter","time17:00",169.353
"11/19/17","Sunday","Winter","time18:00",168.34
"11/19/17","Sunday","Winter","time19:00",167.11
"11/19/17","Sunday","Winter","time20:00",174.15
"11/19/17","Sunday","Winter","time21:00",167.6
"11/19/17","Sunday","Winter","time22:00",166.83
"11/19/17","Sunday","Winter","time23:00",145.95
"11/20/17","Monday","Winter","time00:00",132.565
"11/20/17","Monday","Winter","time01:00",111.605
"11/20/17","Monday","Winter","time02:00",110.835
"11/20/17","Monday","Winter","time03:00",109.855
"11/20/17","Monday","Winter","time04:00",111.69
"11/20/17","Monday","Winter","time05:00",139.59
"11/20/17","Monday","Winter","time06:00",158.835
"11/20/17","Monday","Winter","time07:00",159.295
"11/20/17","Monday","Winter","time08:00",167.41
"11/20/17","Monday","Winter","time09:00",170.845
"11/20/17","Monday","Winter","time10:00",170.48
"11/20/17","Monday","Winter","time11:00",167.175
"11/20/17","Monday","Winter","time12:00",160.86
"11/20/17","Monday","Winter","time13:00",159.95
"11/20/17","Monday","Winter","time14:00",159.84
"11/20/17","Monday","Winter","time15:00",164.955
"11/20/17","Monday","Winter","time16:00",169.065
"11/20/17","Monday","Winter","time17:00",235.3
"11/20/17","Monday","Winter","time18:00",236.695
"11/20/17","Monday","Winter","time19:00",231.91
"11/20/17","Monday","Winter","time20:00",203.91
"11/20/17","Monday","Winter","time21:00",163.125
"11/20/17","Monday","Winter","time22:00",147.24
"11/20/17","Monday","Winter","time23:00",129.005
"11/21/17","Tuesday","Winter","time00:00",129.175
"11/21/17","Tuesday","Winter","time01:00",106.24
"11/21/17","Tuesday","Winter","time02:00",104.105
"11/21/17","Tuesday","Winter","time03:00",104.77
"11/21/17","Tuesday","Winter","time04:00",106.905
"11/21/17","Tuesday","Winter","time05:00",131.14
"11/21/17","Tuesday","Winter","time06:00",146.2
"11/21/17","Tuesday","Winter","time07:00",148.46
"11/21/17","Tuesday","Winter","time08:00",165.68
"11/21/17","Tuesday","Winter","time09:00",171.48
"11/21/17","Tuesday","Winter","time10:00",176.765
"11/21/17","Tuesday","Winter","time11:00",184.495
"11/21/17","Tuesday","Winter","time12:00",178.535
"11/21/17","Tuesday","Winter","time13:00",183.435
"11/21/17","Tuesday","Winter","time14:00",180.225
"11/21/17","Tuesday","Winter","time15:00",178.97
"11/21/17","Tuesday","Winter","time16:00",198.095
"11/21/17","Tuesday","Winter","time17:00",275.695
"11/21/17","Tuesday","Winter","time18:00",253.33
"11/21/17","Tuesday","Winter","time19:00",243.76
"11/21/17","Tuesday","Winter","time20:00",214.89
"11/21/17","Tuesday","Winter","time21:00",192.05
"11/21/17","Tuesday","Winter","time22:00",169.91
"11/21/17","Tuesday","Winter","time23:00",152.795
"11/22/17","Wednesday","Winter","time00:00",139.75
"11/22/17","Wednesday","Winter","time01:00",117.57
"11/22/17","Wednesday","Winter","time02:00",116.315
"11/22/17","Wednesday","Winter","time03:00",119.21
"11/22/17","Wednesday","Winter","time04:00",119.56
"11/22/17","Wednesday","Winter","time05:00",145.65
"11/22/17","Wednesday","Winter","time06:00",160.54
"11/22/17","Wednesday","Winter","time07:00",158.355
"11/22/17","Wednesday","Winter","time08:00",176.63
"11/22/17","Wednesday","Winter","time09:00",177.72
"11/22/17","Wednesday","Winter","time10:00",178.615
"11/22/17","Wednesday","Winter","time11:00",183.59
"11/22/17","Wednesday","Winter","time12:00",182.295
"11/22/17","Wednesday","Winter","time13:00",172.705
"11/22/17","Wednesday","Winter","time14:00",171.595
"11/22/17","Wednesday","Winter","time15:00",168.36
"11/22/17","Wednesday","Winter","time16:00",163.735
"11/22/17","Wednesday","Winter","time17:00",191.3
"11/22/17","Wednesday","Winter","time18:00",191.195
"11/22/17","Wednesday","Winter","time19:00",188.335
"11/22/17","Wednesday","Winter","time20:00",178.75
"11/22/17","Wednesday","Winter","time21:00",166.91
"11/22/17","Wednesday","Winter","time22:00",155.34
"11/22/17","Wednesday","Winter","time23:00",146.105
"11/23/17","Thursday","Winter","time00:00",137.995
"11/23/17","Thursday","Winter","time01:00",117.87
"11/23/17","Thursday","Winter","time02:00",114.955
"11/23/17","Thursday","Winter","time03:00",115.62
"11/23/17","Thursday","Winter","time04:00",117.305
"11/23/17","Thursday","Winter","time05:00",137.985
"11/23/17","Thursday","Winter","time06:00",149.475
"11/23/17","Thursday","Winter","time07:00",137.745
"11/23/17","Thursday","Winter","time08:00",141.105
"11/23/17","Thursday","Winter","time09:00",138.635
"11/23/17","Thursday","Winter","time10:00",144.445
"11/23/17","Thursday","Winter","time11:00",145.735
"11/23/17","Thursday","Winter","time12:00",143.99
"11/23/17","Thursday","Winter","time13:00",141.495
"11/23/17","Thursday","Winter","time14:00",141.15
"11/23/17","Thursday","Winter","time15:00",140.945
"11/23/17","Thursday","Winter","time16:00",140.705
"11/23/17","Thursday","Winter","time17:00",161.615
"11/23/17","Thursday","Winter","time18:00",163.705
"11/23/17","Thursday","Winter","time19:00",160.475
"11/23/17","Thursday","Winter","time20:00",158.8
"11/23/17","Thursday","Winter","time21:00",165.065
"11/23/17","Thursday","Winter","time22:00",160.805
"11/23/17","Thursday","Winter","time23:00",161.3
"11/24/17","Friday","Winter","time00:00",142.955
"11/24/17","Friday","Winter","time01:00",113.535
"11/24/17","Friday","Winter","time02:00",113.375
"11/24/17","Friday","Winter","time03:00",113.115
"11/24/17","Friday","Winter","time04:00",117.475
"11/24/17","Friday","Winter","time05:00",138.4
